stop_name	mainTrafficType	lat	lon
IKEM	bus	50.0207024	14.4633169
Invalidovna	metroB	50.0978737	14.4650917
Italská	tram	50.0780334	14.4365168
Ivančická	bus	50.14219	14.5119562
Jahodnice	bus	50.0874367	14.5580835
Jakobiho	bus	50.03308	14.5593538
Jalodvorská	bus	50.0139656	14.4571342
Jana Masaryka	tram	50.073513	14.4406815
Jankovcova	bus	50.1101723	14.4448776
Janovská	bus	50.0405159	14.5668011
Jarníkova	bus	50.0265121	14.4941845
Jemnická	bus	50.0494728	14.4589262
Jenerálka	bus	50.1078453	14.353838
Jeřická	bus	50.11006	14.6077118
Jesenická	bus	50.0581322	14.4931841
Jezerka	bus	50.0574837	14.4430676
Ježovická	bus	50.0697327	14.64965
Jilemnická	bus	50.13743	14.5503092
Jílovská	bus	50.0263977	14.43011
Jindřišská	tram	50.085083	14.4301577
Jinonice	metroB	50.0543671	14.3700666
Jinonická	bus	50.0693855	14.3775167
Jiráskova čtvrť	bus	50.0941	14.5458994
Jiráskovo náměstí	tram	50.076252	14.4141579
Jirčanská	bus	50.0059624	14.4593525
Jiřího z Poděbrad	metroA	50.0772552	14.4504709
Jitřní	bus	50.02402	14.41307
Jiviny	bus	50.0777779	14.3049688
Jizbická	bus	50.1101646	14.622798
Jižní Město	bus	50.034317	14.5383844
Jordánská	bus	50.11104	14.5627928
K Austisu	bus	50.02118	14.3411369
K Barrandovu	tram	50.0354729	14.38343
K Cikánce	bus	49.9975	14.3417168
K Drsnici	bus	50.14268	14.384613
K Dubečku	bus	50.0553665	14.5648165
K Fialce	bus	50.0558853	14.3293667
K Hájům	bus	50.0549545	14.3240452
K Holyni	bus	50.020565	14.3600588
K Horoměřicům	bus	50.13248	14.36852
K Housličkám	bus	50.1299	14.3664656
K Chatám	bus	49.9481239	14.3753471
K Juliáně	bus	50.1178474	14.3010206
K Lesoparku	bus	50.0497	14.53915
K Letišti	trolleybus	50.0956345	14.2935457
K Letňanům	bus	50.14351	14.484067
K Lipanům	bus	50.01575	14.6064339
K Netlukám	bus	50.03349	14.609724
K Noskovně	bus	50.1114655	14.3253
K Obecním hájovnám	bus	50.04293	14.5150671
K Pitkovičkám	bus	50.0246	14.5906343
K Říčanům	bus	50.01535	14.6322012
K Teplárně	bus	50.1687355	14.52105
K Trninám	bus	50.06838	14.3111324
K Třebonicům	bus	50.03716	14.29833
K Tuchoměřicům	bus	50.1161	14.2916
K Vystrkovu	bus	49.99932	14.411006
K Zelenči	bus	50.1232872	14.62397
K Žižkovu	bus	50.09959	14.496417
Kabešova	tram	50.1024628	14.5082712
Kablo	bus	50.06209	14.5383654
Kačerov	metroC	50.04197	14.4608793
Kajetánka	bus	50.0865173	14.3709326
Kalinův mlýn	bus	50.111	14.3675461
Kamenická	tram	50.09957	14.4288549
Kamenolom Zbraslav	bus	49.9594154	14.3940687
Kamýcká	bus	50.1306	14.3827486
Kapitána Stránského	bus	50.1033249	14.5761757
Kardausova	bus	50.0665741	14.5530815
Karenova	bus	50.063385	14.3683062
Karlínské náměstí	tram	50.09275	14.44518
Karlovo náměstí	metroB	50.0753021	14.4191093
Karlovy lázně	tram	50.08457	14.4134665
Karlštejnská	bus	50.05264	14.3595819
Kateřinky	bus	50.0205	14.5202675
Kateřinská	bus	50.074337	14.426158
Katovická	bus	50.1321335	14.4279
Kavalírka	tram	50.07004	14.37063
Kavčí hory	bus	50.04898	14.4295416
Kavkazská	bus	50.06955	14.4660168
Kazanka	bus	50.11738	14.4275017
Kazín	bus	49.9510422	14.340826
Kazínská	bus	50.0116653	14.3863525
Kbelská	bus	50.1050453	14.5324688
Kbelský hřbitov	bus	50.1442871	14.5467539
Kbelský lesopark	bus	50.1353378	14.5357122
Kbelský pivovar	bus	50.1304131	14.5474339
Kbely	bus	50.1308823	14.5529337
Ke Březině	bus	49.9932251	14.4678965
Ke Hrázi	bus	50.08682	14.5762558
Ke Kaménce	bus	50.0715179	14.3024168
Ke Kateřinkám	bus	50.02538	14.5155725
Ke Kazínu	bus	49.95641	14.3423414
Ke Klíčovu	bus	50.1127472	14.5064554
Ke Koulce	bus	50.06165	14.4045734
Ke Kříži	bus	50.02949	14.5944433
Ke Schodům	bus	50.014183	14.4158173
Ke Smrčině	bus	50.0176849	14.5251637
Ke Stírce	tram	50.122673	14.4558678
Ke Štěrkovně	bus	49.9569778	14.3714857
Ke Xaverovu	bus	50.0997162	14.6236839
Kelerka	trolleybus	50.11532	14.490201
Kesnerka	bus	50.0578842	14.4020672
Khodlova	bus	50.1102867	14.6040707
Klamovka	tram	50.0707	14.3806181
Klánova	bus	50.0213661	14.4237843
Klánovice	bus	50.0989532	14.68594
Klárův ústav	bus	50.0277023	14.45715
Klášterecká	bus	50.14596	14.4558115
Klíčov	bus	50.1168976	14.5142756
Klíčovská	bus	50.11745	14.5079508
Klikovka	bus	50.05705	14.4297676
Kloboučnická	bus	50.0605659	14.4509344
Klukovice	bus	50.0360832	14.3665028
Kněžská luka	tram	50.092186	14.4929676
Knovízská	bus	50.04137	14.5001335
Kobrova	bus	50.07605	14.3982668
Kobyliská střelnice	bus	50.1309052	14.4608755
Kobylisy	metroC	50.1246834	14.4563112
Kodaňská	bus	50.07075	14.4608173
Kodymova	bus	50.0514832	14.3373432
Koh-i-noor	tram	50.06758	14.4614086
Kokořínská	bus	50.1457024	14.4852171
Kolbenova	metroB	50.1106224	14.5158482
Koleje Jižní Město	bus	50.0172844	14.499505
Koleje Strahov	bus	50.0805	14.390193
Koleje Větrník	bus	50.0887642	14.3511963
Koloděje	bus	50.0601	14.6405172
Kolodějská obora	bus	50.06237	14.6280746
Kolonie	bus	50.0932922	14.525363
Kolová	bus	49.9782753	14.3498793
Kolovraty	bus	50.0160179	14.6212673
Komárovská	bus	50.1152344	14.62145
