stop_name,mainTrafficType,lat,lon
"Brno, Masarykův okruh",,49.204702,16.44722
"Brno, Tribuna B",,49.209214,16.453122
"Brno, Masarykův okruh",,49.204702,16.44722
Ořechovská,,49.156238,16.599375
Rozhraní,,49.155854,16.592288
Rozhraní,,49.155698,16.592118
Ořechovská,,49.156238,16.599375
Heršpická,,49.170473,16.599896
U hřiště,,49.166214,16.558668
Valašská,,49.166746,16.562866
Pod nemocnicí,,49.172412,16.569624
Nemocnice Bohunice,,49.175206,16.56694
Pod nemocnicí,,49.172338,16.569417
Ořechovská,,49.155346,16.599058
Moravanská,,49.144019,16.60129
Nemocnice Bohunice,,49.176176,16.567045
Hlavní nádraží,,49.19213,16.613467
"Chrlice, smyčka",,49.126855,16.655081
"Chrlice, nádraží",,49.132136,16.656638
Chrlické náměstí,,49.13548,16.653876
Chrlické náměstí,,49.135283,16.653902
"Chrlice, nádraží",,49.131712,16.656596
"Chrlice, smyčka",,49.126443,16.654784
Šromova,,49.13376,16.650299
Zámecká,,49.132776,16.642479
Zámecká,,49.132518,16.642875
Šromova,,49.13398,16.651446
ÚAN Zvonařka,,49.185364,16.616151
Za křížem,,49.15905,16.670815
Černovická terasa II,,49.168348,16.675307
Černovická terasa I,,49.171843,16.673091
Pod Tuřankou,,49.172977,16.675462
Areál Slatina,,49.168677,16.678416
Areál Slatina,,49.168614,16.67804
Pod Tuřankou,,49.173265,16.674982
Černovická terasa I,,49.171172,16.673495
Černovická terasa II,,49.167108,16.67608
Za křížem,,49.15982,16.670772
Úzká,,49.188931,16.612782
Tržní,,49.189973,16.632193
Hlavní nádraží,,49.191893,16.613334
"Řečkovice, hřbitov",,49.253356,16.582329
Renčova,,49.247214,16.574968
Nadační,,49.245595,16.571098
V Újezdech,,49.241856,16.573203
Technologický park,,49.23192,16.576848
Technologický park,,49.231509,16.576781
V Újezdech,,49.241986,16.573155
Nadační,,49.244744,16.57031
Renčova,,49.246696,16.575244
"Řečkovice, hřbitov",,49.253402,16.582496
Ečerova,,49.217891,16.509436
Ondrouškova,,49.217335,16.516792
Kubíčkova,,49.220921,16.520293
Přístaviště,,49.228519,16.522556
Zoologická zahrada,,49.22774,16.531898
Kamenolom,,49.221888,16.536713
Podlesí,,49.21871,16.542217
Branka,,49.219368,16.548224
Svratecká,,49.21799,16.553492
Vozovna Komín,,49.213224,16.559619
Stránského,,49.211937,16.568408
Bráfova,,49.207033,16.570558
Pisárky,,49.194163,16.569615
ARENA BRNO,,49.191387,16.576425
Výstaviště - vstup G2,,49.190207,16.580555
Výstaviště - hlavní vstup,,49.189325,16.585699
Mendlovo náměstí,,49.190034,16.593837
Václavská,,49.188715,16.596878
Hybešova,,49.189209,16.603364
Nové sady,,49.190222,16.609403
Hlavní nádraží,,49.191394,16.612548
Malinovského náměstí,,49.196131,16.612953
Moravské náměstí,,49.19996,16.607931
Antonínská,,49.203685,16.606678
Pionýrská,,49.207491,16.604472
Hrnčířská,,49.210254,16.602868
Šumavská,,49.213991,16.600669
Kartouzská,,49.216998,16.598896
Jungmannova,,49.220856,16.596583
Husitská,,49.223125,16.59524
Semilasso,,49.227417,16.592683
Tylova,,49.23243,16.589321
Kořískova,,49.240579,16.58388
Filkukova,,49.244244,16.58143
Řečkovice,,49.247295,16.578803
Řečkovice,,49.246978,16.5794
Filkukova,,49.243517,16.581881
Kořískova,,49.238898,16.584964
Hudcova,,49.235791,16.587041
Tylova,,49.232055,16.589539
Semilasso,,49.228227,16.592081
Husitská,,49.223415,16.595016
Jungmannova,,49.221083,16.596416
Kartouzská,,49.21665,16.599078
Šumavská,,49.214022,16.60062
Hrnčířská,,49.21062,16.602628
Pionýrská,,49.207904,16.604201
Antonínská,,49.203166,16.606915
Moravské náměstí,,49.199237,16.608067
Malinovského náměstí,,49.195612,16.613248
Hlavní nádraží,,49.191185,16.611879
Nové sady,,49.190116,16.609025
Hybešova,,49.189322,16.602863
Václavská,,49.188681,16.597217
Mendlovo náměstí,,49.189659,16.592283
Výstaviště - hlavní vstup,,49.189583,16.584499
Výstaviště - vstup G2,,49.190338,16.579837
ARENA BRNO,,49.191523,16.576065
Pisárky,,49.194099,16.569741
Bráfova,,49.206955,16.570536
Stránského,,49.211954,16.568673
Vozovna Komín,,49.2132,16.559792
Svratecká,,49.217898,16.553656
Branka,,49.219419,16.54726
Podlesí,,49.218711,16.542392
Kamenolom,,49.221657,16.536794
Zoologická zahrada,,49.227674,16.532002
Přístaviště,,49.22814,16.521658
Kubíčkova,,49.220545,16.520292
Ondrouškova,,49.217409,16.516952
Ečerova,,49.218286,16.508994
Vozovna Medlánky,,49.235314,16.586529
ARENA BRNO,,49.191093,16.576334
Vozovna Medlánky,,49.235402,16.586291
Moravanská,,49.142578,16.602595
Moravanské lány,,49.149278,16.601446
Ořechovská,,49.157948,16.599961
Bohunická,,49.162263,16.599229
Ústřední hřbitov,,49.171209,16.59734
Hluboká,,49.175346,16.596153
Celní,,49.179607,16.595242
Nemocnice Milosrdných bratří,,49.183867,16.595061
Poříčí,,49.187409,16.594512
Malinovského náměstí,,49.195034,16.614825
Körnerova,,49.19828,16.619945
Tkalcovská,,49.200261,16.626109
Vojenská nemocnice,,49.202244,16.629717
Kuldova,,49.201297,16.634306
Stará osada,,49.202521,16.641948
Stará osada,,49.20214,16.641417
Kuldova,,49.201319,16.634551
Vojenská nemocnice,,49.202306,16.62966
Tkalcovská,,49.199805,16.625934
Körnerova,,49.198152,16.619504
Malinovského náměstí,,49.195492,16.61386
Poříčí,,49.187182,16.594633
Nemocnice Milosrdných bratří,,49.183515,16.594981
Celní,,49.179109,16.595328
Hluboká,,49.175524,16.596095
Ústřední hřbitov,,49.17132,16.597273
Bohunická,,49.162011,16.599222
Ořechovská,,49.157643,16.599953
Moravanské lány,,49.149621,16.601338
Moravanská,,49.142921,16.602487
Modřická cihelna,,49.137565,16.603379
Ústřední hřbitov - smyčka,,49.164878,16.59805
Ústřední hřbitov - smyčka,,49.16513,16.598633
Mendlovo náměstí,,49.190204,16.594235
Jugoslávská,,49.204197,16.624075
Dětská nemocnice,,49.203029,16.619052
Náměstí 28. října,,49.200787,16.613174
Moravské náměstí,,49.199159,16.608704
Česká,,49.198134,16.605041
Grohova,,49.201153,16.599729
Konečného náměstí,,49.204484,16.595426
Rybkova,,49.205908,16.593602
Tábor,,49.210271,16.587228
Králova,,49.211297,16.583386
Burianovo náměstí,,49.212482,16.578371
Mozolky,,49.213712,16.574628
Rosického náměstí,,49.214438,16.567996
Sochorova,,49.213406,16.564341
Rakovecká,,49.225877,16.518739
Hlavní nádraží,,49.191543,16.610815
Rakovecká,,49.226177,16.519315
Sochorova,,49.21349,16.564933
Rosického náměstí,,49.214708,16.568749
Mozolky,,49.21352,16.575061
Burianovo náměstí,,49.212274,16.578835
Tábor,,49.210553,16.585882
Rybkova,,49.206244,16.593167
Konečného náměstí,,49.204509,16.595462
Grohova,,49.201327,16.59934
Česká,,49.197702,16.606463
Moravské náměstí,,49.199309,16.609047
Náměstí 28. října,,49.200961,16.613794
Dětská nemocnice,,49.202836,16.618608
Jugoslávská,,49.203843,16.624408
"Komín, smyčka",,49.216183,16.556125
Hlavní nádraží,,49.192074,16.613923
Vlhká,,49.191847,16.618976
Masná,,49.191244,16.625642
Životského,,49.191036,16.633968
Geislerova,,49.19278,16.635345
Židovský hřbitov,,49.191354,16.641711
Krásného,,49.190434,16.650066
Podstránská,,49.187879,16.666536
Stránská skála,,49.192001,16.674374
Stránská skála - smyčka,,49.192657,16.677469
Stránská skála - smyčka,,49.192783,16.6773
Stránská skála,,49.191704,16.673622
Podstránská,,49.18765,16.665957
Krásného,,49.19067,16.649391
Židovský hřbitov,,49.191517,16.641078
Geislerova,,49.192754,16.634757
Životského,,49.190687,16.633889
Masná,,49.191283,16.6245
Vlhká,,49.191852,16.619157
Hlavní nádraží,,49.192214,16.613823
Nerudova,,49.206566,16.595654
Klusáčkova,,49.212365,16.592666
Tererova,,49.21589,16.589173
Dobrovského,,49.217769,16.587876
Skácelova,,49.221886,16.585096
Červinkova,,49.22545,16.582624
Technické muzeum,,49.228047,16.582285
Technologický park,,49.231361,16.577036
Bělohorská,,49.190201,16.6637
Bílá hora,,49.194847,16.667411
Líšeňská,,49.197876,16.664849
Novolíšeňská,,49.202014,16.670642
Novolíšeňská,,49.201911,16.669965
Líšeňská,,49.197285,16.665584
Bílá hora,,49.194271,16.667395
Bělohorská,,49.190098,16.663444
Technologický park,,49.231453,16.576939
Technické muzeum,,49.228605,16.582096
Červinkova,,49.224608,16.583108
Skácelova,,49.221651,16.585163
Dobrovského,,49.218351,16.587423
Tererova,,49.215675,16.589238
Klusáčkova,,49.211903,16.592875
Nerudova,,49.205983,16.595174
Maloměřický most,,49.21558,16.642601
Tomkovo náměstí,,49.213786,16.636015
Náměstí Republiky,,49.211428,16.634106
Vozovna Husovice,,49.208534,16.629847
Mostecká,,49.206873,16.626866
Trávníčkova,,49.204401,16.625637
Česká,,49.197396,16.607318
Náměstí Svobody,,49.19564,16.607991
Zelný trh,,49.192725,16.610226
Trávníčkova,,49.204439,16.625679
Mostecká,,49.20703,16.627792
Vozovna Husovice,,49.208331,16.629789
Náměstí Republiky,,49.210591,16.633523
Tomkovo náměstí,,49.214003,16.636474
Maloměřický most,,49.215518,16.642987
Proškovo náměstí,,49.220207,16.643397
Obřanská - u školy,,49.222872,16.644811
Čtvery hony,,49.226227,16.645584
Obřanský most,,49.227602,16.650226
Babická,,49.228004,16.652555
Babická,,49.228129,16.652126
Obřanský most,,49.227463,16.649577
Čtvery hony,,49.225534,16.644942
Obřanská - u školy,,49.22256,16.644731
Proškovo náměstí,,49.21983,16.643286
Maloměřický most,,49.215312,16.642622
Štefánikova čtvrť,,49.217169,16.627801
Venhudova,,49.212541,16.62512
Zdráhalova,,49.209742,16.623799
